restaurant_key,restaurant google map url,neighborhood,address,coordinates,details_monday,details_tuesday,details_wednesday,details_thursday,details_friday,details_saturday,details_sunday,details_games,details_haunted
Encanto,https://maps.google.com/?cid=17406536592830502452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"2121 Hillhurst Ave, Los Angeles, CA 90027, USA","34.1106391,-118.2877096","4 - 6pm /
 $6 beer / 10 cocktails & 
$10 tacos","4 - 6pm /
 $10 cocktails & 
$10 tacos","4 - 6pm /
 $6 beer / 10 cocktails & 
$10 tacos","4 - 6pm /
 $6 beer / 10 cocktails & 
$10 tacos","4 - 6pm /
 $6 beer / 10 cocktails & 
$10 tacos","4 - 6pm /
 $6 beer / 10 cocktails & 
$10 tacos","4 - 6pm /
 $6 beer / 10 cocktails & 
$10 tacos","""COMEDY, EVENTS & MUSIC;
OUTDOOR PATIO""",
The Friend,https://maps.google.com/?cid=17635646340355094647&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"2611 Hyperion Ave, Los Angeles, CA 90027, USA","34.1060161,-118.2728363","7 - 9pm /
 $8 cocktails; $6 wine; $5 beer","7 - 9pm /
 $8 cocktails; $6 wine; $5 beer","7 - 9pm /
 $8 cocktails; $6 wine; $5 beer","7 - 9pm /
 $8 cocktails; $6 wine; $5 beer","7 - 9pm /
 $8 cocktails; $6 wine; $5 beer","7 - 9pm /
 $8 cocktails; $6 wine; $5 beer","7 - 9pm /
 $8 cocktails; $6 wine; $5 beer",DJ,
The Greyhound,https://maps.google.com/?cid=4303115388649222402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"1716 E 7th St, Los Angeles, CA 90021, USA","34.0340225,-118.2355761","3 - 6:30pm + ""Blue Hour"" during all Dodgers games /
 $8 wells; $6 beers; $2 off cocktails + Select Foods","3 - 6:30pm + ""Blue Hour"" during all Dodgers games /
 $8 wells; $6 beers; $2 off cocktails + Select Foods","3 - 6:30pm + ""Blue Hour"" during all Dodgers games /
 $8 wells; $6 beers; $2 off cocktails + Select Foods","3 - 6:30pm + ""Blue Hour"" during all Dodgers games /
 $8 wells; $6 beers; $2 off cocktails + Select Foods","3 - 6:30pm + ""Blue Hour"" during all Dodgers games /
 $8 wells; $6 beers; $2 off cocktails + Select Foods","""Blue Hour"" during all Dodgers games","""Blue Hour"" during all Dodgers games",SPORTS WATCHIN',
La Cuevita,https://maps.google.com/?cid=8784638244326377784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"5922 N Figueroa St, Los Angeles, CA 90042, USA","34.1107177,-118.190118","3 - 8pm
$7 cocktails","3 - 8pm
$7 cocktails","3 - 8pm
$7 cocktails","3 - 8pm
$7 cocktails","3 - 8pm
$7 cocktails","3 - 8pm
$7 cocktails","3 - 8pm
$7 cocktails",JAZZ ON SUNDAYS,
Link N Hops,https://maps.google.com/?cid=2203541807552322650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"3111 Glendale Blvd #3, Los Angeles, CA 90039, USA","34.1164924,-118.263071","3 - 7pm
$2 off all draft beers","3 - 7pm
$2 off all draft beers","3 - 7pm
$2 off all draft beers","3 - 7pm
$2 off all draft beers",N/A,N/A,N/A,,
High Low,https://maps.google.com/?cid=5014182382767265070&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"3000 Los Feliz Blvd, Los Angeles, CA 90039, USA","34.1252165,-118.2646957","4 - 7pm /
 $9 cocktails & 
$7 beer","4 - 7pm /
 $9 cocktails & 
$7 beer","4 - 7pm /
 $9 cocktails & 
$7 beer","4 - 7pm /
 $9 cocktails & 
$7 beer","4 - 7pm /
 $9 cocktails & 
$7 beer","1 - 5pm /
 $9 cocktails & 
$7 beer","1 - 5pm /
 $9 cocktails & 
$7 beer",BILLIARDS; SPORTS WATCHIN; DJ & CONCERT EVENTS,
HOME,https://maps.google.com/?cid=14748255293556726053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"1760 Hillhurst Ave, Los Angeles, CA 90027, USA","34.1032069,-118.2868581","3 - 7pm
$9 beer, wine & cocktails / $9 food apps","3 - 7pm
$9 beer, wine & cocktails / $9 food apps","ALL DAY
$9 beer, wine & cocktails / $9 food apps","3 - 7pm
$9 beer, wine & cocktails / $9 food apps","3 - 7pm
$9 beer, wine & cocktails / $9 food apps",N/A,"5pm - Close
$9 beer, wine & cocktails / $9 food apps",,
Justine's Wine Bar,https://maps.google.com/?cid=3526409138723427663&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"2029 Blake Ave #102, Los Angeles, CA 90039, USA","34.1025069,-118.2435712",N/A,"5 - 7pm
$12 cocktails / $5 select beer / food","ALL NIGHT
$12 cocktails / $5 select beer / food","5 - 7pm
$12 cocktails / $5 select beer / food","5 - 7pm
$12 cocktails / $5 select beer / food","5 - 7pm
$12 cocktails / $5 select beer / food","5 - 7pm
$12 cocktails / $5 select beer / food",,
Kombu Sushi,https://maps.google.com/?cid=10013223727216139666&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"3719 Sunset Blvd, Los Angeles, CA 90026, USA","34.0908743,-118.2780828","3 - 6pm
$5 beer & sake / $10 wine & cocktails / $7 hand rolls","3 - 6pm
$5 beer & sake / $10 wine & cocktails / $7 hand rolls","3 - 6pm
$5 beer & sake / $10 wine & cocktails / $7 hand rolls","3 - 6pm
$5 beer & sake / $10 wine & cocktails / $7 hand rolls","3 - 6pm
$5 beer & sake / $10 wine & cocktails / $7 hand rolls",,,,
Mess Hall,https://maps.google.com/?cid=17176651680219073598&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"4500 Los Feliz Blvd, Los Angeles, CA 90027, USA","34.111469,-118.2876817","3 - 6pm
$6 beer & sake / $10 cocktails / $7 select food","3 - 6pm
$6 beer & sake / $10 cocktails / $7 select food","3 - 6pm
$6 beer & sake / $10 cocktails / $7 select food","3 - 6pm
$6 beer & sake / $10 cocktails / $7 select food","3 - 6pm
$6 beer & sake / $10 cocktails / $7 select food",N/A,N/A,,
Morrison,https://maps.google.com/?cid=3274745315903570558&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"3179 Los Feliz Blvd, Los Angeles, CA 90039, USA","34.1237549,-118.26872","12 - 6pm / 
$9 HH food
 $9 cocktails & 
$6 beer","12 - 6pm  /
50% off Tequila Tues","12 - 6pm / 
$9 HH food
 $9 cocktails & 
$6 beer","12 - 6pm / 
$9 HH food
 $9 cocktails & 
$6 beer","12 - 6pm / 
$9 HH food
 $9 cocktails & 
$6 beer","12 - 6pm / 
$9 HH food
 $9 cocktails & 
$6 beer","2 - 6pm / 
$9 HH food
 $9 cocktails & 
$6 beer",SPORTS WATCHIN',
Red Lion Tavern,https://maps.google.com/?cid=6846299548861410520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"2366 Glendale Blvd, Los Angeles, CA 90039, USA","34.0992198,-118.258945","12 - 6pm / 
$6 - 7 draft / wine
$6 well liquor","12 - 6pm / 
$6 - 7 draft beer
$6 well liquor","12 - 6pm / 
$6 - 7 draft beer
$6 well liquor","12 - 6pm / 
$6 - 7 draft beer
$6 well liquor","12 - 6pm / 
$6 - 7 draft / wine
$6 well liquor",,,SPORTS WATCHIN',
Thirsty Crow,https://maps.google.com/?cid=9597303374072335169&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"2939 Sunset Blvd, Los Angeles, CA 90026, USA","34.0836768,-118.2737436",5 - 8pm,5 - 8pm,5 - 8pm,5 - 8pm,5 - 8pm,2 - 8pm,5 - 8pm,DJ & CONCERT EVENTS,
Verdugo Bar,https://maps.google.com/?cid=3731991830589500632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"3408 Verdugo Rd, Los Angeles, CA 90065, USA","34.1138537,-118.2350672","6 - 8pm /
 $2 off 
selected drafts /
$4 wells","6 - 8pm /
 $2 off 
selected drafts /
$4 wells","6 - 8pm /
 $2 off 
selected drafts /
$4 wells","6 - 8pm /
 $2 off 
selected drafts /
$4 wells","6 - 8pm /
 $2 off 
selected drafts /
$4 wells",,,SPORTS WATCHIN',
Aikan Sushi,https://maps.google.com/?cid=14710805711296827176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"9034 Tampa Ave, Northridge, CA 91324, USA","34.2336469,-118.5523942","2 - 5pm
$2 beers / $2 sushi","2 - 5pm
$2 beers / $2 sushi","2 - 5pm
$2 beers / $2 sushi","2 - 5pm
$2 beers / $2 sushi",,,,,
Broken Compass,https://maps.google.com/?cid=7744127070519864208&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"2013 W Burbank Blvd, Burbank, CA 91506, USA","34.18069,-118.3331819","2 - 5pm
$9 sliders & apps","2 - 5pm
$9 sliders & apps","2 - 5pm
$9 sliders & apps","2 - 5pm
$9 sliders & apps","2 - 5pm
$9 sliders & apps",,,,
Finney's,https://maps.google.com/?cid=12577374012768123061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"164 E Palm Ave #102, Burbank, CA 91502, USA","34.181992,-118.3106157","2 - 5pm
$6 beers / $7 wine & wells;
various $6 apps","2 - 5pm
$6 beers / $7 wine & wells;
various $6 apps","2 - 5pm
$6 beers / $7 wine & wells;
various $6 apps","2 - 5pm
$6 beers / $7 wine & wells;
various $6 apps","2 - 5pm
$6 beers / $7 wine & wells;
various $6 apps",,,,
General Admission,https://maps.google.com/?cid=2229121280470119872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"3311 Cahuenga Blvd W, Los Angeles, CA 90068, USA","34.130329,-118.3503724","4 - 7pm
$6 HUGE draft selection beers / $9 sliders & apps","4 - 7pm
$6 HUGE draft selection beers / $9 sliders & apps","ALL DAY&NIGHT!
$6 HUGE draft selection beers / $9 sliders & apps / Trivia","4 - 7pm
$6 HUGE draft selection beers / $9 sliders & apps","4 - 7pm
$6 HUGE draft selection beers / $9 sliders & apps",,,,N
El Tejano,https://maps.google.com/?cid=1208017632291265376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"11122 Magnolia Blvd, North Hollywood, CA 91601, USA","34.1646307,-118.3732448","3 - 7pm / 9p- 12a
$10 cocktails; 
$5 select beers & bites","3 - 7pm / 9p- 12a
$10 cocktails; 
$5 select beers & bites","3 - 7pm / 9p- 12a
$10 cocktails; 
$5 select beers & bites","3 - 7pm / 9p- 12a
$10 cocktails; 
$5 select beers & bites","3 - 7pm / 
$10 cocktails; 
$5 select beers & bites","3 - 7pm / 
$10 cocktails; 
$5 select beers & bites","3 - 7pm / 9p- 12a
$10 cocktails; 
$5 select beers & bites",,
Idle Hour,https://maps.google.com/?cid=14718533400971829359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"4824 Vineland Ave, North Hollywood, CA 91601, USA","34.1583867,-118.3700036","3 - 6pm / 
$7 cocktails; 
$6 bites","3 - 6pm / 
Trivia / 
$7 cocktails; 
$6 bites","3 - 6pm / 
$7 cocktails; 
$6 bites","3 - 6pm / 
$7 cocktails; 
$6 bites","3 - 6pm / 
$7 cocktails; 
$6 bites","1 - 6pm / 
$7 cocktails; 
$6 bites","3 - 6pm / 
$7 cocktails; 
$6 bites",,
Islands,https://maps.google.com/?cid=16970828455929159769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"6081 Center Dr #104, Los Angeles, CA 90045, USA","33.9777351,-118.3913327","3 - 6:30pm / 
$7 cocktails; 
$6 bites","3 - 6:30pm / 
$7 cocktails; 
$6 bites","3 - 6:30pm / 
$7 cocktails; 
$6 bites","3 - 6:30pm / 
$7 cocktails; 
$6 bites","3 - 6:30pm / 
$7 cocktails; 
$6 bites",,,SPORTS WATCHIN',
Tiki No,https://maps.google.com/?cid=17091092062440598906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"4657 Lankershim Blvd, North Hollywood, CA 91602, USA","34.1554728,-118.3692617",10pm - 12am,10pm - 12am,10pm - 12am,10pm - 12am,6 - 8pm,6 - 8pm,10pm - 12am,,
Over / Under,https://maps.google.com/?cid=8118545727696673862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,North Hollywood / Burbank / The Valley,"310 N San Fernando Blvd, Burbank, CA 91502, USA","34.182833,-118.3107612","2 - 6pm
$6 beers / $7 wine & wells;
various $6 apps","2 - 6pm
$6 beers / $7 wine & wells;
various $6 apps","2 - 6pm
$6 beers / $7 wine & wells;
various $6 apps","2 - 6pm
$6 beers / $7 wine & wells;
various $6 apps","2 - 6pm
$6 beers / $7 wine & wells;
various $6 apps",,,,
Anayas,https://maps.google.com/?cid=6402360662841100724&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"4651 W Adams Blvd, Los Angeles, CA 90016, USA","34.0327163,-118.3417754","4 - 6pm / 
$10 margaritas / mojitos; $24 Draft Pitchers; 
appetizer deals","4 - 6pm / 
$10 margaritas / mojitos; $24 Draft Pitchers; 
appetizer deals","4 - 6pm / 
$10 margaritas / mojitos; $24 Draft Pitchers; 
appetizer deals","4 - 6pm / 
$10 margaritas / mojitos; $24 Draft Pitchers; 
appetizer deals","4 - 6pm / 
$10 margaritas / mojitos; $24 Draft Pitchers; 
appetizer deals",N/A,N/A,,
Blind Donkey,https://maps.google.com/?cid=17981481323107226399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"53 Union St, Pasadena, CA 91103, USA","34.1468816,-118.1492946","5 - 7pm / 
$2 off Well Drinks; $1 off select draft & wine ","5 - 7pm / 
$2 off Well Drinks; $1 off select draft & wine ","5 - 7pm / 
$2 off Well Drinks; $1 off select draft & wine ","5 - 7pm / 
$2 off Well Drinks; $1 off select draft & wine ","5 - 7pm / 
$2 off Well Drinks; $1 off select draft & wine ","1 - 4pm / 
$2 off Well Drinks; $1 off select draft & wine ","1 - 4pm / 
$2 off Well Drinks; $1 off select draft & wine ",SPORTS WATCHIN',
Cervercería Del Pueblo,https://maps.google.com/?cid=11693529559249703090&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"141 W Bellevue Dr #100, Pasadena, CA 91105, USA","34.1385154,-118.1536331",N/A,"4 - 6pm / 
$5 Pints","4 - 6pm / 
$5 Pints","4 - 6pm / 
$5 Pints","4 - 6pm / 
$5 Pints",N/A,N/A,,
California Pizza Kitchen,https://maps.google.com/?cid=14294405371277474875&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"735 South Figueroa Street, 7th St Space 305, Los Angeles, CA 90017, USA","34.0490663,-118.2604624","3 - 5pm / 
Pizza & Beer $6; 1/2 off all Drinks + Starters","3 - 5pm / 
Pizza & Beer $6; 1/2 off all Drinks + Starters","3 - 5pm / 
Pizza & Beer $6; 1/2 off all Drinks + Starters","3 - 5pm / 
Pizza & Beer $6; 1/2 off all Drinks + Starters","3 - 5pm / 
Pizza & Beer $6; 1/2 off all Drinks + Starters",N/A,N/A,,
Craft by Smoke and Fire,https://maps.google.com/?cid=13478363678479127489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"30 W Green St, Pasadena, CA 91105, USA","34.1443768,-118.1511787","2 - 6pm; 9 - 10pm / Buy One Get One - All Cocktails, Beer & Wine","2 - 6pm; 9 - 10pm / Buy One Get One - All Cocktails, Beer & Wine","2 - 6pm; 9 - 10pm / Buy One Get One - All Cocktails, Beer & Wine","2 - 6pm; 9 - 10pm / Buy One Get One - All Cocktails, Beer & Wine","2 - 6pm; 9p - 12am / Buy One Get One - All Cocktails, Beer & Wine","9p - 12am / 
Buy One Get One - All Cocktails, Beer & Wine","9 - 10pm / 
Buy One Get One - All Cocktails, Beer & Wine",,
Damon's,https://maps.google.com/?cid=6486446881158073048&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"317 N Brand Blvd, Glendale, CA 91203, USA","34.1506218,-118.2554664","3 - 6pm / 
$9-10 Mai Tai; Chi Chi; Rum Dole Whip","3 - 6pm / 
$9-10 Mai Tai; Chi Chi; Rum Dole Whip","3 - 6pm / 
$9-10 Mai Tai; Chi Chi; Rum Dole Whip","3 - 6pm / 
$9-10 Mai Tai; Chi Chi; Rum Dole Whip","3 - 6pm / 
$9-10 Mai Tai; Chi Chi; Rum Dole Whip",,,,
Der Wolf,https://maps.google.com/?cid=14152065006948794215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"519 S Spring St, Los Angeles, CA 90013, USA","34.0470331,-118.250239","5 - 7pm; 
$5 well drinks; $2 off cocktails, wine and draft beer; select appetizers","5 - 7pm; 
$5 well drinks; $2 off cocktails, wine and draft beer; select appetizers","5 - 7pm; 
$5 well drinks; $2 off cocktails, wine and draft beer; select appetizers","5 - 7pm; 
$5 well drinks; $2 off cocktails, wine and draft beer; select appetizers","2 - 7pm; 
$5 well drinks; $2 off cocktails, wine and draft beer; select appetizers",N/A,N/A,,
Edwin Mills by Equator,https://maps.google.com/?cid=661793131083602333&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"22 Mills Pl, Pasadena, CA 91105, USA","34.1453132,-118.1507825","4pm - Close; 
Half Price All Appetizers & Alcohol","4pm - Close; 
$3 Martinis, Mixed Drinks, Bottled & Can Beers","4pm - Close; 
Half Price All Wine, Bubbly & Sake","4pm - Close; 
$3 Martinis, Mixed Drinks, Bottled & Can Beers","4 - 7pm; 
$3 Martinis, Mixed Drinks, Bottled & Can Beers","11 - 4pm; 
$18 Bottomless Mimosas w/ Brunch","11 - 4pm; 
$18 Bottomless Mimosas w/ Brunch",LIVE MUSIC,
The Fable,https://maps.google.com/?cid=7771199744163170428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"1630 Colorado Blvd, Los Angeles, CA 90041, USA","34.1392346,-118.2020612",5 - 7pm / $2 off beer; $3 off wine; $7 wells; $9 cocktails,5 - 7pm / $2 off beer; $3 off wine; $7 wells; $9 cocktails,5 - 7pm / $2 off beer; $3 off wine; $7 wells; $9 cocktails,5 - 7pm / $2 off beer; $3 off wine; $7 wells; $9 cocktails,5 - 7pm / $2 off beer; $3 off wine; $7 wells; $9 cocktails,5 - 7pm / $2 off beer; $3 off wine; $7 wells; $9 cocktails,5 - 7pm / $2 off beer; $3 off wine; $7 wells; $9 cocktails,,
Glendale Tap,https://maps.google.com/?cid=11993132573485047549&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"4227 San Fernando Rd, Glendale, CA 91204, USA","34.1305247,-118.2613646",N/A,"6 - 9pm / 
$1 off all draft",N/A,N/A,N/A,"1 - 4pm / 
$1 off all draft ","1 - 4pm / 
$1 off all draft ","POOL TABLE; 
OUTDOOR PATIO w/ TV for SPORTS WATCHIN'",
Kings Row,https://maps.google.com/?cid=15415789068490678018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"20 E Colorado Blvd Suite 102, Pasadena, CA 91105, USA","34.1455506,-118.1500828","3 - 6pm / 
$7 High Balls / $7 House Wine; $9 Burgers / Nachos ","3 - 6pm / 
$7 High Balls / $7 House Wine; $9 Burgers / Nachos ","3 - 6pm / 
$7 High Balls / $7 House Wine; $9 Burgers / Nachos ","3 - 6pm / 
$7 High Balls / $7 House Wine; $9 Burgers / Nachos ","3 - 6pm / 
$7 High Balls / $7 House Wine; $9 Burgers / Nachos ",N/A,N/A,SPORTS WATCHIN'; Pinball; Outdoor Patio,
Lucky Baldwins,https://maps.google.com/?cid=9898180514319649858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"17 S Raymond Ave, Pasadena, CA 91105, USA","34.1453862,-118.1490371","4 - 6pm / 
$9 Wings; Select Draft Beer","4 - 6pm / 
$9 Wings; Select Draft Beer","4 - 6pm / 
$9 Wings; Select Draft Beer","4 - 6pm / 
$9 Wings; Select Draft Beer",N/A,N/A,N/A,SPORTS WATCHIN'; Outdoor Patio,
Kabuki,https://maps.google.com/?cid=16732564758900087628&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"6081 Center Dr #203, Los Angeles, CA 90045, USA","33.9785684,-118.3929189","3 - 6pm / 
8:30pm - Close
$4 sushi/rolls; 
$2 hot sake + Sapporo","3 - 6pm / 
8:30pm - Close
$4 sushi/rolls; 
$2 hot sake + Sapporo","3 - 6pm / 
8:30pm - Close
$4 sushi/rolls; 
$2 hot sake + Sapporo","3 - 6pm / 
8:30pm - Close
$4 sushi/rolls; 
$2 hot sake + Sapporo","3 - 6pm / 
$4 sushi/rolls; 
$2 hot sake + Sapporo","2 - 5pm / 
$4 sushi/rolls; $2 hot sake + Sapporo","2 - 5pm; 
8pm - Close /
$4 sushi/rolls; 
$2 hot sake + Sapporo",,
Paperback Brewing,https://maps.google.com/?cid=13777347840249481761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"422 Magnolia Ave, Glendale, CA 91204, USA","34.1300553,-118.2618884","4 - 6pm / 
$2 off Draft Beer","4 - 6pm / 
$2 off Draft Beer /
Trivia","4 - 6pm / 
$2 off Draft Beer","4 - 6pm / 
$2 off Draft Beer","4 - 6pm / 
$2 off Draft Beer",N/A,N/A,SHUFFLE BOARD; SPORTS WATCHIN',
Rocco's Tavern,https://maps.google.com/?cid=14212776882834514671&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"3843 Main St, Culver City, CA 90232, USA","34.0245466,-118.3946534","12 - 7pm / 
10pm - close 
2 for 1 drinks; after 10pm half off pizza & wings ","12 - 7pm / 
10pm - close 
2 for 1 drinks; after 10pm half off pizza & wings ","12 - 7pm / 
10pm - close 
2 for 1 drinks; after 10pm half off pizza & wings ","12 - 7pm / 
10pm - close 
2 for 1 drinks; after 10pm half off pizza & wings ","12 - 7pm / 
10pm - close 
2 for 1 drinks; after 10pm half off pizza & wings ","3 - 7pm / 
10pm - close 
2 for 1 drinks; after 10pm half off pizza & wings ","3 - 7pm / 
10pm - close 
2 for 1 drinks; after 10pm half off pizza & wings ",SPORTS WATCHIN',Y
Taco/Social,https://maps.google.com/?cid=14095196171563937520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"1627 Colorado Blvd, Los Angeles, CA 90041, USA","34.1397517,-118.2019927","3 - 6pm / 
$2 off margs / craft cocktails / draft beers / wine","3 - 6pm / 
$2 off margs / craft cocktails / draft beers / wine","3 - 6pm / 
$2 off margs / craft cocktails / draft beers / wine","3 - 6pm / 
$2 off margs / craft cocktails / draft beers / wine","3 - 6pm / 
$2 off margs / craft cocktails / draft beers / wine","3 - 6pm / 
$2 off margs / craft cocktails / draft beers / wine","3 - 6pm / 
$2 off margs / craft cocktails / draft beers / wine",SPORTS WATCHIN';  OUTDOOR PATIO,
Yard House,https://maps.google.com/?cid=2663269652518794639&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"800 W Olympic Blvd A-115, Los Angeles, CA 90015, USA","34.0451045,-118.2656611","3 - 6pm; 10pm - close 
$2 off beer / wine / cocktails; 
Half Off select apps","3 - 6pm; 10pm - close 
$2 off beer / wine / cocktails; 
Half Off select apps","3 - 6pm; 10pm - close 
$2 off beer / wine / cocktails; 
Half Off select apps","3 - 6pm / 
$2 off beer / wine / cocktails; 
Half Off select apps","3 - 6pm / 
$2 off beer / wine / cocktails; 
Half Off select apps","3 - 6pm / 
$2 off beer / wine / cocktails; 
Half Off select apps","3 - 6pm; 10pm - close 
$2 off beer / wine / cocktails; 
Half Off select apps",SPORTS WATCHIN',
