restaurant_key,restaurant google map url,neighborhood,address,coordinates,details_monday,details_tuesday,details_wednesday,details_thursday,details_friday,details_saturday,details_sunday,details_games,details_haunted
Phorage Weho,https://maps.google.com/?cid=5779342421658487379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7326 Santa Monica Blvd #10, Los Angeles, CA 90046, USA","34.0905595,-118.3495622","3-6pm
$7 Well / $5 Beers & Wine
Martini Mondays 
All Nite $12 All Martinis","3-6pm
$7 Well / $5 Beers & Wine
Tequila & Mezcal 
All Nite Top Shelf Double Pours & $2 off all Tequila/Mezcal","3-6pm
$7 Well / $5 Beers & Wine
Whiskey & Wine 
All Nite Top Shelf Double Pours & $2 off any Whiskey","3-6pm 
$7 Well / $5 Beers & Wine / $2 Off Small Bites","3-6pm 
$7 Well / $5 Beers & Wine / $2 Off Small Bites",,"3-6pm 
$7 Well / $5 Beers & Wine / $2 Off Small Bites",,N
Snake Pit Alehouse,https://maps.google.com/?cid=10183337500710009108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7529 Melrose Ave, Los Angeles, CA 90046, USA","34.0838042,-118.3541682","3pm - Midnight
$8 wells / 
$6 select beers / food specials","3 - 7pm
$8 wells / 
$6 select beers; $2 Taco Tues / 
$5 Tecate","3 - 7pm
$8 wells / 
$6 select beers / food specials / Weds $6 Buffalo Wings","3 - 7pm
$8 wells / 
$6 select beers / food specials","3 - 7pm
$8 wells / 
$6 select beers / food specials",,"7 - 9pm
$8 wells / 
$6 select beers / food specials",JUKEBOX,N
Surly Goat,https://maps.google.com/?cid=14554943794334663828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7929 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0910744,-118.3626536","6pm-8pm
select drafts / wells
Trivia!","6-8pm
select drafts / wells","6-8pm
select drafts / wells
Karaoke!","6-8pm
select drafts / wells","6-8pm
select drafts / wells",,,"DARTS
OUTDOOR PATIO",N
Tacos Tu Madre,https://maps.google.com/?cid=8910599073140358487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"1111 Hayworth Ave, Los Angeles, CA 90046, USA","34.0912616,-118.3632356","3pm-6pm
$10 Cocktails / $6 Beers + Food","3pm-6pm
$10 Cocktails / $6 Beers + Food","3pm-6pm
$10 Cocktails / $6 Beers + Food","3pm-6pm
$10 Cocktails / $6 Beers + Food","3pm-6pm
$10 Cocktails / $6 Beers + Food",,,,
The 3rd Stop,https://maps.google.com/?cid=17899689916626643444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8636 W 3rd St, Los Angeles, CA 90048, USA","34.0734089,-118.3808238","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals",SPORTS WATCHIN',
Terroni,https://maps.google.com/?cid=16665993120947572306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7605 Beverly Blvd, Los Angeles, CA 90036, USA","34.0763627,-118.3555332","4 - 5:30pm
*Bar & Patio ONLY","4 - 5:30pm
*Bar & Patio ONLY","4 - 5:30pm
*Bar & Patio ONLY","4 - 5:30pm
*Bar & Patio ONLY","4 - 5:30pm
*Bar & Patio ONLY",,,,
Desert 5,https://maps.google.com/?cid=17654792462149624194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"6516 Selma Ave, Los Angeles, CA 90028, USA","34.0996487,-118.3317056",,,"6 - 8pm /
$6 beer & wine; $12 cocktails; $10 for two tacos","6 - 8pm /
$6 beer & wine; $12 cocktails; $10 for two tacos","6 - 8pm /
$6 beer & wine; $12 cocktails; $10 for two tacos",,,,
Electric Owl,https://maps.google.com/?cid=18356242145920265311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"1451 N Gardner St, West Hollywood, CA 90046, USA","34.0977076,-118.3530368",N/A,N/A,"2 - 5pm; 10 - 11pm
$10 cocktails / 
~$10 apps","2 - 5pm; 10 - 11pm
$10 cocktails / 
~$10 apps","2 - 5pm; 11 - 12am
$10 cocktails / 
~$10 apps","2 - 5pm; 11 - 12am
$10 cocktails / 
~$10 apps","2 - 5pm; 10 - 11pm
$10 cocktails / 
~$10 apps",SPORTS WATCHIN',N
Good Times at Davey Wayne's,https://maps.google.com/?cid=10037345221646604035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"1611 N El Centro Ave, Los Angeles, CA 90028, USA","34.100267,-118.323973","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans",DANCING,
Jay's Bar,https://maps.google.com/?cid=7264119175042115372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"4321 Sunset Blvd, Los Angeles, CA 90029, USA","34.0952424,-118.2830158","4 - 7pm / 
$5 wells /
$7 select drafts","4 - 7pm / 
$5 wells /
$7 select drafts","4 - 7pm / 
$5 wells /
$7 select drafts","4 - 7pm / 
$5 wells /
$7 select drafts","4 - 7pm / 
$5 wells /
$7 select drafts",,,,
