restaurant_key,restaurant google map url,address,coordinates
The 3rd Stop USA,https://maps.google.com/?cid=17899689916626643444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8636 W 3rd St, Los Angeles, CA 90048, USA","34.0734089,-118.3808238"
Terroni USA,https://maps.google.com/?cid=16665993120947572306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7605 Beverly Blvd, Los Angeles, CA 90036, USA","34.0763627,-118.3555332"
33 Taps USA,https://maps.google.com/?cid=1429498327596697899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1240 S Figueroa St, Los Angeles, CA 90015, USA","34.0410951,-118.2670827"
Desert 5 USA,https://maps.google.com/?cid=17654792462149624194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"6516 Selma Ave, Los Angeles, CA 90028, USA","34.0996487,-118.3317056"
Electric Owl USA,https://maps.google.com/?cid=18356242145920265311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1451 N Gardner St, West Hollywood, CA 90046, USA","34.0977076,-118.3530368"
Good Times at Davey Wayne's USA,https://maps.google.com/?cid=10037345221646604035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1611 N El Centro Ave, Los Angeles, CA 90028, USA","34.100267,-118.323973"
Jay's Bar USA,https://maps.google.com/?cid=7264119175042115372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4321 Sunset Blvd, Los Angeles, CA 90029, USA","34.0952424,-118.2830158"
Mother Tongue USA,https://maps.google.com/?cid=14454867485310468324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"960 N La Brea Ave 4th Floor, Los Angeles, CA 90038, USA","34.0883989,-118.3437201"
Power House USA,https://maps.google.com/?cid=11682698650544694459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1714 Highland Ave, Los Angeles, CA 90028, USA","34.10213,-118.3384633"
Sunset Vinyl USA,https://maps.google.com/?cid=14062406171515063084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1521 Vine St, Los Angeles, CA 90028, USA","34.0988267,-118.3270184"
The Well USA,https://maps.google.com/?cid=14278525344119121956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"6255 Sunset Blvd, Los Angeles, CA 90028, USA","34.0985325,-118.3255669"
All Seasons Brewing USA,https://maps.google.com/?cid=1895768546188553684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"800 S La Brea Ave, Los Angeles, CA 90036, USA","34.0603894,-118.3444837"
Breakroom 86 USA,https://maps.google.com/?cid=585944012083531389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"630 S Ardmore Ave, Los Angeles, CA 90010, USA","34.0622812,-118.3014419"
Delicious Pizza USA,https://maps.google.com/?cid=7221154802553902263&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"5419 W Adams Blvd, Los Angeles, CA 90016, USA","34.0326813,-118.360925"
Escala USA,https://maps.google.com/?cid=17094329334952669336&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3451 W 6th St, Los Angeles, CA 90020, USA","34.0637517,-118.2968488"
Founders Ale House USA,https://maps.google.com/?cid=8841327919080696438&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8771 W Pico Blvd, Los Angeles, CA 90035, USA","34.0549248,-118.3832419"
Frank 'n Hanks USA,https://maps.google.com/?cid=3801972435844512654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"518 S Western Ave, Los Angeles, CA 90020, USA","34.0647274,-118.3089035"
The Bar at Johnny's USA,https://maps.google.com/?cid=10667033404610405541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4327 W Adams Blvd, Los Angeles, CA 90018, USA","34.0328059,-118.3329372"
Little Bar USA,https://maps.google.com/?cid=3809388952540120318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"757 S S La Brea Ave, Los Angeles, CA 90036, USA","34.0658603,-118.3440364"
