restaurant_key,restaurant google map url,address,raw response of the api
"OR Bar USA","https://maps.google.com/?cid=11872065185144145365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8228 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "8228 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=11872065185144145365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"The Phoenix USA","https://maps.google.com/?cid=18390320676594090767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8480 W 3rd St, Los Angeles, CA 90048, USA","{  "places": [    {      "formattedAddress": "8480 W 3rd St, Los Angeles, CA 90048, USA",      "googleMapsUri": "https://maps.google.com/?cid=18390320676594090767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Phorage Weho USA","https://maps.google.com/?cid=5779342421658487379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7326 Santa Monica Blvd #10, Los Angeles, CA 90046, USA","{  "places": [    {      "formattedAddress": "7326 Santa Monica Blvd #10, Los Angeles, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=5779342421658487379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Snake Pit Alehouse USA","https://maps.google.com/?cid=10183337500710009108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7529 Melrose Ave, Los Angeles, CA 90046, USA","{  "places": [    {      "formattedAddress": "7529 Melrose Ave, Los Angeles, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=10183337500710009108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Surly Goat USA","https://maps.google.com/?cid=14554943794334663828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7929 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "7929 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=14554943794334663828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Tacos Tu Madre USA","https://maps.google.com/?cid=8910599073140358487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1111 Hayworth Ave, Los Angeles, CA 90046, USA","{  "places": [    {      "formattedAddress": "1111 Hayworth Ave, Los Angeles, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=8910599073140358487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"The 3rd Stop USA","https://maps.google.com/?cid=17899689916626643444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8636 W 3rd St, Los Angeles, CA 90048, USA","{  "places": [    {      "formattedAddress": "8636 W 3rd St, Los Angeles, CA 90048, USA",      "googleMapsUri": "https://maps.google.com/?cid=17899689916626643444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Terroni USA","https://maps.google.com/?cid=16665993120947572306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7605 Beverly Blvd, Los Angeles, CA 90036, USA","{  "places": [    {      "formattedAddress": "7605 Beverly Blvd, Los Angeles, CA 90036, USA",      "googleMapsUri": "https://maps.google.com/?cid=16665993120947572306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"33 Taps USA","https://maps.google.com/?cid=1429498327596697899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1240 S Figueroa St, Los Angeles, CA 90015, USA","{  "places": [    {      "formattedAddress": "1240 S Figueroa St, Los Angeles, CA 90015, USA",      "googleMapsUri": "https://maps.google.com/?cid=1429498327596697899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Desert 5 USA","https://maps.google.com/?cid=17654792462149624194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","6516 Selma Ave, Los Angeles, CA 90028, USA","{  "places": [    {      "formattedAddress": "6516 Selma Ave, Los Angeles, CA 90028, USA",      "googleMapsUri": "https://maps.google.com/?cid=17654792462149624194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
